Métrica,Pontuação
faithfulness_1,1.0
answer_relevancy_1,0.8128163068814075
context_recall_1,1.0
context_precision_1,0.391666666656875
faithfulness_2,0.0
answer_relevancy_2,0.0
context_recall_2,0.0
context_precision_2,0.0
faithfulness_3,0.0
answer_relevancy_3,0.9044929273020889
context_recall_3,0.0
context_precision_3,0.0
faithfulness_4,1.0
answer_relevancy_4,0.9167219906891994
context_recall_4,1.0
context_precision_4,0.14285714284285714
faithfulness_5,0.6666666666666666
answer_relevancy_5,0.8917089955007517
context_recall_5,1.0
context_precision_5,0.06249999999375
