Métrica,Pontuação
faithfulness_1,0.0
answer_relevancy_1,0.0
context_recall_1,1.0
context_precision_1,0.9999999999
faithfulness_2,0.0
answer_relevancy_2,0.766595102026414
context_recall_2,1.0
context_precision_2,0.19999999998
faithfulness_3,0.6666666666666666
answer_relevancy_3,0.0
context_recall_3,1.0
context_precision_3,0.9999999999
faithfulness_4,0.0
answer_relevancy_4,0.8733724644899978
context_recall_4,0.0
context_precision_4,0.0
faithfulness_5,0.23076923076923078
answer_relevancy_5,0.0
context_recall_5,1.0
context_precision_5,0.9999999999
faithfulness_6,0.0
answer_relevancy_6,0.9322281305267524
context_recall_6,1.0
context_precision_6,0.0
faithfulness_7,0.0
answer_relevancy_7,0.8544753450367355
context_recall_7,1.0
context_precision_7,0.9999999999
