Métrica,Pontuação
faithfulness_1,1.0
answer_relevancy_1,0.7515328370048474
context_recall_1,1.0
context_precision_1,0.5833333333041666
faithfulness_2,1.0
answer_relevancy_2,0.8312595570833358
context_recall_2,0.0
context_precision_2,0.0
faithfulness_3,0.0
answer_relevancy_3,0.0
context_recall_3,1.0
context_precision_3,0.249999999975
faithfulness_4,0.0
answer_relevancy_4,0.9311495743081454
context_recall_4,0.0
context_precision_4,0.0
faithfulness_5,0.0
answer_relevancy_5,1.0
context_recall_5,0.1111111111111111
context_precision_5,0.3333333333
