Métrica,Pontuação
faithfulness_1,0.5
answer_relevancy_1,0.9863821370160002
context_recall_1,1.0
context_precision_1,0.99999999995
faithfulness_2,0.0
answer_relevancy_2,0.9804658590651837
context_recall_2,1.0
context_precision_2,0.19999999998
faithfulness_3,0.0
answer_relevancy_3,0.0
context_recall_3,0.0
context_precision_3,0.249999999975
faithfulness_4,0.0
answer_relevancy_4,0.0
context_recall_4,0.0
context_precision_4,0.0
faithfulness_5,0.0
answer_relevancy_5,0.0
context_recall_5,0.0
context_precision_5,0.0
