Métrica,Pontuação
faithfulness_1,0.625
answer_relevancy_1,0.9099035365562833
context_recall_1,1.0
context_precision_1,0.36666666664833336
faithfulness_2,0.0
answer_relevancy_2,0.0
context_recall_2,0.0
context_precision_2,0.0
faithfulness_3,1.0
answer_relevancy_3,0.0
context_recall_3,0.0
context_precision_3,0.0
faithfulness_4,0.8333333333333334
answer_relevancy_4,0.8460543689664567
context_recall_4,1.0
context_precision_4,0.14285714284285714
faithfulness_5,0.0
answer_relevancy_5,0.0
context_recall_5,0.6666666666666666
context_precision_5,0.14285714284285714
