Métrica,Pontuação
faithfulness_1,0.0
answer_relevancy_1,0.8772122577992634
context_recall_1,1.0
context_precision_1,0.41111111109740744
faithfulness_2,0.0
answer_relevancy_2,0.0
context_recall_2,0.0
context_precision_2,0.0
faithfulness_3,0.0
answer_relevancy_3,0.8633544396584713
context_recall_3,0.0
context_precision_3,0.0
faithfulness_4,0.5238095238095238
answer_relevancy_4,0.0
context_recall_4,1.0
context_precision_4,0.14285714284285714
faithfulness_5,0.0
answer_relevancy_5,0.0
context_recall_5,0.0
context_precision_5,0.0
